number,title,lyrics,genre
01,Đọc,Bốn thầy trò lên núi tụng kinh cái bụng trình ình là chư bát giới\ncái tai phơi phới là quỷ sa tăng\n cái mặt hay nhăn là đường tam tạng\ncái tính liều mạng là tôn ngô không\nngười cầm cái bát phật tổ như lai\nhóa phép bàn tai nhốt anh khỉ đột,Đọc
11,Bắc kim thang,Bắc kim thang cà lang bí rợ\nCột qua kèo là kèo qua cột,Hát
21,Năm anh em trên một chiếc xe tăng,Năm anh em trên một chiếc xe tăng\nnhư năm bông hoa nở cùng một cội\nNhư năm ngón tay trên một bàn tay\nđã xung trận cả năm người như một,Hát
31,Đọc,Con gái nói có là không con gái nói không là có\nCon gái nói một là hai con gái nói hai là một,Đọc
02,Ru lại câu hò,Buồn thương chiếc áo năm nào rách đôi bờ vai\nchị hai cứ ngóng trông hoài bóng con đò xưa\nbiết người xưa kia giờ sang sông\nbiết người ra đi mà vẫn mong\nnhung nhớ đêm dài tóc chị giờ thành highlight,Hát
12,Mắt nai ơi,Một nụ hồng một nụ hồng tặng cho mắt nai,Hát
03,Đọc,Khi xưa Alibaba như vầng trăng sáng chiếu trên trần gian Alibaba\nHôm nay Alibaba như chàng dũng sĩ hát vang lời ca Alibaba,Đọc
13,Cây đàn sinh viên,Thời sinh viên có cây đàn ghi-ta \nđàn ngân lên chúng ta cùng hòa ca có anh bạn xa nhà\ncó cô bạn nhớ cha cất vang cùng lời ca...,Hát
23,Người hãy quên em đi,Người hãy quên em đi\nVà đừng yêu em nữa\nNếu anh không còn gì để vương vấn\nNgười hãy quên em đi\nĐừng chờ mong chi nữa\nTiếc thương gì cho lòng thêm xót xa,Hát
33,Cô đơn trên sofa,Để em được ngã lưng lên một chiếc sofa\nĐể nghe một phút tim yên bình đến kỳ lạ\nĐể em được sống vô tư như một bông hoa\nGiữa bầu trời kiêu sa\nCho em thôi miệt mài nghĩ suy \nNgười ơi hãy nói em nghe một lý do đi\nVì sao lại để em vương sầu trên khoé mi\nVì sao lại biến cô đơn thành giông tố\nNỗi buồn sóng vỗTâm hồn em trôi lênh đênh trong căn phòng.\nRồi lại rơi xuống trên sofa,Hát
43,Tâm sự cùng người lạ,Because I'm too lonely lonely girl\nXung quanh đông vui nhưng anh vẫn thấy sao mình thật cô đơn\nBao nhiêu suy tư hoang mang cứ dồn vào lòng\nChỉ riêng anh thôi\nNên đôi khi anh muốn tâm sự cùng người lạ,Hát
53,Voi con ở bản đôn,Voi con ơi voi con ơi\nMau lớn nhanh có đôi ngà to\nCó sức đi khắp miền rừng xa\nKéo gỗ cho buôn làng của ta,Hát
04,Tình cha,Và con nhớ mãi những ngày tháng qua \nkỷ niệm năm nào khó phai trong lòng \nnhớ hoài tuổi thơ bên cha \ngian khổ ngày đêm chăm lo mong muốn con được lớn khôn,Hát
14,Đọc,Tề Thiên Đại Thánh đại náo Thiên Cung\nlàm đứt dây thung\ntuột cái quần mà chạy chốn,Đọc
24,Đọc,Cá không ăn muối cá ươn\ncon cãi cha mẹ trăm đường con hư,Đọc
34,Đọc,Tôi bắt con nai con nai chạy chốn,Đọc
05,Tơ Hồng,Em yêu ơi về quê anh nhé mùa gió lên con nước vơi đầy\nMột con sông ngày đục đêm trong\nmột lều tranh\nta sống trăm năm,Hát
15,Người tính trăm năm,Bầu trời nhiều sao sáng đêm nay\nnhiều như những gì mình đã có\nMột lần đã chọn vẹn ái ân\nvới anh em mãi là người tình trăm năm.,Hát
25,Trái tim em cũng biết đau,Lời biệt ly buồn đến mấy cũng không thể nào\nLàm cho em gục ngã đến mức tuyệt vọng\nChỉ là vết thương sâu một chút thôi anh à\nNgày mà anh tìm đến em tin anh thật lòng\nVà yêu em bằng những cảm xúc tự nguyện\nLàm em quá yêu nên mù quáng đến yếu lòng\nLà ngày chúng ta bắt đầu những sai lầm,Hát
35,Em gái mưa,Đừng lo lắng về em khi mà em vẫn còn yêu anh\nCàng xa lánh càng trống vắng tim cứ đau và nhớ lắm,Hát
06,60 năm cuộc đời,Anh ơi có bao nhiêu\n60 năm cuộc đời\n20 năm đầu\nSung sướng không bao lâu\n20 năm sauSầu vương cao vời vợi\n20 năm cuối là bao,Hát
16,Một Ông Sao Sáng,Một ông sao sáng hai ông sáng sao\nBa ông sao sáng sáng chiếu muôn ánh vàng\nBốn ông sáng sao kìa năm ông sao sáng\nKìa sáu ông sáng sao trên trời cao,Hát
26,Waiting for you,Một bông hồng xinh tươi thắm huh trông em kiêu sa\nĐôi chân thướt tha mặn mà (uh)\nHương thơm miên man dịu dàng (uh)\nDáng duyên nụ cười say đắm yêu người\nNgỡ là trái tim khô cằn héo úa sẽ thôi buồn đau\nNhưng thật cay đắng khi biết là (ú oà)\nMình chỉ là một người đến sau,Hát
07,Đọc,Nhảy đi nhảy đi tăng tăng tăng tằng tắng tằng tằng tằng nhảy đi nhảy đi\n con x7,Đọc
17,Cho em gần anh thêm chút nữa,Một chút nhớ anh đấy một chút mưa chưa đầy\nMột chút thương anh mà xa như khói mây\nMột chút ít hơi ấm một chút thương âm thầm\nMột chút yêu thôi nằm sâu như song ngầm \nYêu là như thế dù là sai thế nào\nVẫn cứ yêu thôi và yêu đến khi tàn hơi\nBao lần đã cố nhủ lòng phải quên đi\nMà tim ơi sao mềm yếu quá vậy,Hát
27,Mắt nai,Mắt nai ơi xin đừng đi nhé em\nMắt nai ơi xin đừng xa cách tôi\nDù cho ngày tháng có đi qua\nCó những phong ba\nTôi vẫn ngồi mãi nơi đây,Hát
37,Anh muốn em sống sao,Anh chỉ đến bên em lúc buồn vậy những ngày vui anh về nơi đâu?\nAnh chỉ đến bên em lúc say\nvì hết say anh đâu ở đây…\nAnh là ai đi qua chốn này?… \ncòn em là ai trong cuộc đời anh đây?\nNói đi anh người ơi vì sao anh nỡ yêu em như vậy,Hát
47,Rap Viêt Bac kim thang,Bắc kim thang ô bắc kim thang\ncâu hò cũ nhưng khi nghe lại thì như buộc thắt tim gan\nđóng hết cửa và tắt hết đèn để nghe chuyện kể dân gian…. \nvì âm binh sẽ trở về vào tháng bảyyy,Hát
08,Nối vòng tay lớn,Rừng núi dang tay nối lại biển xa\nTa đi vòng tay lớn mãi để nối sơn hà\nMặt đất bao la anh em ta về\nGặp nhau mừng như bão cát quay cuồng trời rộng\nBàn tay ta nắm nối tròn một vòng Việt Nam,Hát
18,Đất phương nam,Còn đâu đây tiếng vó ngựa phi\nMà ngỡ con tàu vỗ sóng bờ xa\nNỉ non sao tiếng nhạn kêu chiều\nBuồm xuôi vô phương Nam \nphiêu bạt theo thủy triều\nDẫu trải qua thăng trầm giông tố\nQua bao cuộc bể dâu\nmãi dâng cho đời\nBài tình ca đất phương Nam,Hát
28,Việt Nam,Máu đỏ da vàng tôi là người Việt Nam\nBiển trời hôm naу sum vầy chung bắc nam\nViệt nam trong tôi là ngàn khúc dân ca\nNơi tôi sinh ra tự hào biết mấу \nMáu đỏ da vàng tôi là người Việt Nam\nDù đi năm châu cho dù về nơi đâu\nTriệu trái tim nàу cùng hát chung câu Việt Nam,Hát
09,Đom đóm,Gió ơi xin đừng lấy em đi\nHãy mang em về chốn xuân thì\nNgày nào còn bồi hồi tóc xanh\nNgày nào còn trò chuyện vớ anhEm nói em thương anh mà\nNói em yêu em màCớ sao ta lại hóa chia xa\nĐóa phong lan lặng lẽ mơ màng\nNàng dịu dàng tựa đèn phố Vinh\nĐẹp rạng ngời chẳng cần cố Xinh í i ì inh,Hát
19,Người tinh mùa đông,Đường vào tim em ôi băng giá\nTrời mùa đông mây vẫn hay đi về\nVẫn mưa mưa rơi trên đường thầm thì\nVì đâu mưa em không đến   \nĐường vào tim em mây giăng kín\nBàn chân anh trên lối đi không thành\nNhững đêm khuya mưa buồn một mình\nCó khi cho ta quên cuộc tình,Hát
29,Sự nghiệp chướng,Giọt nước mắt vướng trên khuôn nhạc\nTưởng ngọc ngà đá quý\n anh yêu bạc\nThấy tiếng vang oanh tạc\nNàng đành lòng lấy bức tranh sơn vàng\nVốn có một vườn hồng\nChuyện tình yêu có một người trồng\nNgười tôi yêu xa hoa\n trăng hoa\n tính đào hoa\nTiếc thay bản nhạc tình,Hát
39,2 phút hơn,Giây phút em gặp anh là em biết em see tình\nTình tình tình tang tang tính tang\nTình tình tình tang tang tang\nGiây phút em gặp anh là em biết em see tình\nTình đừng tình toan toan tính toan\nTình mình tình tang tang tang tình,Hát
00,20 cây số,Bạn tôi sáng nhịn ăn lên giảng đường\n bạn tôi sáng đạp xe x0 cây số,Hát
10,Duyên Phận,Chưa yêu lần nào biết ra làm sao\nBiết trong tình yêu như thế nào\nSông sâu là bao nào đo được đâu\nLòng người ta ai biết có dài lâu\nQua bao thời gian sống trong bình an\nLỡ yêu người ta gieo trái ngang\nNông sâu tùy sông làm sao mà trông\nĐời người con gái không muốn yêu ai được không. Số X không,Hát